desktop,Name[zh_TW],GenericName[zh_TW],Comment[zh_TW],Name[zh_CN],GenericName[zh_CN],Comment[zh_CN],Name,Name[zh_HK],GenericName[zh_HK],Comment[zh_HK],Categories
#ezgomenu start,,,,,,,,,,,
#辦公,,,,,,,,,,,
openoffice.org-writer.desktop,文書處理_Writer,類似 Microsoft Word 的文書處理軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,文書處理_Writer,文书处理_Writer,类似MicrosoftWord的文书处理软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,文书处理_Writer,WordProcessor_Writer,文書處理_Writer,類似 Microsoft Word 的文書處理軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,文書處理_Writer,Office;
openoffice.org-calc.desktop,試算表_Calc,類似 Microsoft Excel 的試算表軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,試算表_Calc,电子表格_Calc,类似MicrosoftExcel的电子表格软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,电子表格_Calc,SpreadSheet_Calc,試算表_Calc,類似 Microsoft Excel 的試算表軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,試算表_Calc,Office;
openoffice.org-impress.desktop,簡報_Impress,類似 Microsoft PowerPoint 的簡報軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,簡報_Impress,演示幻灯片_Impress,类似MicrosoftPowerPoint的演示幻灯片软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,演示幻灯片_Impress,Presentation_Impress,簡報_Impress,類似 Microsoft PowerPoint 的簡報軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,簡報_Impress,Office;
openoffice.org-draw.desktop,繪圖_Draw,利用 Office 軟體的使用思維即可輕鬆的繪製向量圖,繪圖_Draw,画图_Draw,利用Office软件的使用思维即可轻松的绘制向量图,画图_Draw,Graphics_Draw,繪圖_Draw,利用 Office 軟體的使用思維即可輕鬆的繪製向量圖,繪圖_Draw,Office;
openoffice.org-base.desktop,資料庫_Base,類似 Microsoft Access 的資料庫軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,資料庫_Base,数据库_Base,类似MicrosoftAccess的数据库软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,数据库_Base,Database_Base,資料庫_Base,類似 Microsoft Access 的資料庫軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,資料庫_Base,Office;
libreoffice-writer.desktop,文書處理_Writer,類似 Microsoft Word 的文書處理軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,文書處理_Writer,文书处理_Writer,类似MicrosoftWord的文书处理软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,文书处理_Writer,WordProcessor_Writer,文書處理_Writer,類似 Microsoft Word 的文書處理軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,文書處理_Writer,Office;
libreoffice-calc.desktop,試算表_Calc,類似 Microsoft Excel 的試算表軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,試算表_Calc,数字表格_Calc,类似MicrosoftExcel的数字表格软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,数字表格_Calc,SpreadSheet_Calc,試算表_Calc,類似 Microsoft Excel 的試算表軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,試算表_Calc,Office;
libreoffice-impress.desktop,簡報_Impress,類似 Microsoft PowerPoint 的簡報軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,簡報_Impress,演示幻灯片_Impress,类似MicrosoftPowerPoint的演示幻灯片软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,演示幻灯片_Impress,Presentation_Impress,簡報_Impress,類似 Microsoft PowerPoint 的簡報軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,簡報_Impress,Office;
libreoffice-draw.desktop,繪圖_Draw,利用 Office 軟體的使用思維即可輕鬆的繪製向量圖,繪圖_Draw,画图_Draw,利用Office软件的使用思维即可轻松的绘制向量图,画图_Draw,Graphics_Draw,繪圖_Draw,利用 Office 軟體的使用思維即可輕鬆的繪製向量圖,繪圖_Draw,Office;
libreoffice-base.desktop,資料庫_Base,類似 Microsoft Access 的資料庫軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,資料庫_Base,数据库_Base,类似MicrosoftAccess的数据库软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,数据库_Base,Database_Base,資料庫_Base,類似 Microsoft Access 的資料庫軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,資料庫_Base,Office;
libreoffice-math.desktop,公式編輯_Math,LibreOffice 上可以做數學公式編輯的軟體,公式編輯_Math,公式编辑_Math,LibreOffice 上可以做数学公式编辑的软件,公式编辑_Math,Formula_Math,公式編輯_Math,LibreOffice 上可以做數學公式編輯的軟體,公式編輯_Math,Office;
libreoffice-startcenter.desktop,整合應用_LibreOffice,LibreOffice 的入口,整合應用_LibreOffice,整合应用_LibreOffice,LibreOffice的入口,整合应用_LibreOffice,Office_LibreOffice,整合應用_LibreOffice,LibreOffice 的入口,整合應用_LibreOffice,Office;
oxoffice5-writer.desktop,文書處理_Writer,類似 Microsoft Word 的文書處理軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,文書處理_Writer,文书处理_Writer,类似MicrosoftWord的文书处理软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,文书处理_Writer,WordProcessor_Writer,文書處理_Writer,類似 Microsoft Word 的文書處理軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,文書處理_Writer,Office;
oxoffice5-calc.desktop,試算表_Calc,類似 Microsoft Excel 的試算表軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,試算表_Calc,数字表格_Calc,类似MicrosoftExcel的数字表格软件，特别的是可以跨平台使用，并且符合ODF国际标准格式,数字表格_Calc,SpreadSheet_Calc,試算表_Calc,類似 Microsoft Excel 的試算表軟體，特別的是可以跨平台使用，並且符合 ODF 國際標準格式,試算表_Calc,Office;
